currency,chain,address,tag,selected
MAGIC,MAGIC-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MAJOR,MAJOR-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
MANA,MANA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MASK,MASK-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MAX,MAX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ME,ME-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
MEME,MEME-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MEMEFI,MEMEFI-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
MEMEFI,MEMEFI-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
MENGO,MENGO-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MERL,MERL-MERLIN Network,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MET,MET-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
METIS,METIS-Metis,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MEW,MEW-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
MINA,MINA-Mina,B62qjUjJXdgPLXkbtuDbtjRYrGF7bVwADUcLYAqF2sPkf1gKP7md9MM,,True
MMT,MMT-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
MMT,MMT-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
MOODENG,MOODENG-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
MORPHO,MORPHO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MOVE,MOVE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MXC,MXC-Layer 3,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
NAVX,NAVX-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
NAVX,NAVX-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
NEAR,NEAR-NEAR,615a5cbc3e4c07845cd8113c3af2f88ce62550c8576ff09174717802278a07f9,,True
NEIRO,NEIRO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
NEO,NEO-N3,NV8meQLYPBAKufBXZu7ZZbENoHW7wq3euV,,True
NFT,NFT-TRC20,TLWk6qXHptQqXF1gUJTh8EwdzGC9Y4nRi2,,True
NFT,NFT-TRC20,TYVXkFUTyc2SLQmVsTnDyCjx3mHQuteABk,,False
NIGHT,NIGHT-Cardano,addr1vy8e6vhjus8s08auqwrad3d7rkdfk9lruvgq5hss6lla99gpkhjw3,,True
NMR,NMR-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
NOT,NOT-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
OKB,OKB-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
